TowerID,NameKey,GridWidth,GridHeight,RoleKey,DescriptionKey
archer_tower,towers.archer.name,1,1,towers.archer.role,towers.archer.desc
cannon_tower,towers.cannon.name,1,1,towers.cannon.role,towers.cannon.desc
lightning_tower,towers.lightning.name,1,1,towers.lightning.role,towers.lightning.desc
haste_tower,towers.haste.name,1,1,towers.haste.role,towers.haste.desc
poison_tower,towers.poison.name,1,1,towers.poison.role,towers.poison.desc
gatling_tower,towers.gatling.name,1,1,towers.gatling.role,towers.gatling.desc
Sniper_tower,towers.Sniper.name,1,1,towers.Sniper.role,towers.Sniper.desc
choco_tower,towers.choco.name,1,1,towers.choco.role,towers.choco.desc
soda_tower,towers.soda.name,1,1,towers.soda.role,towers.soda.desc
flame_archer_tower,towers.flame_archer.name,1,1,towers.flame_archer.role,towers.flame_archer.desc
incendiary_cannon_tower,towers.incendiary_cannon.name,1,1,towers.incendiary_cannon.role,towers.incendiary_cannon.desc
flame_field_tower,towers.flame_field.name,1,1,towers.flame_field.role,towers.flame_field.desc
triple_shoot_tower,towers.triple_shoot.name,1,1,towers.triple_shoot.role,towers.triple_shoot.desc
boomerang_tower,towers.boomerang.name,1,1,towers.boomerang.role,towers.boomerang.desc
multi_inferno_tower,towers.multi_inferno.name,1,1,towers.multi_inferno.role,towers.multi_inferno.desc
rampup_tower,towers.rampup.name,1,1,towers.rampup.role,towers.rampup.desc
killstack_tower,towers.killstack.name,1,1,towers.killstack.role,towers.killstack.desc
single_inferno_tower,towers.single_inferno.name,1,1,towers.single_inferno.role,towers.single_inferno.desc
missile_tower,towers.missile.name,1,1,towers.missile.role,towers.missile.desc
twin_missile_tower,towers.twin_missile.name,1,1,towers.twin_missile.role,towers.twin_missile.desc
